Continent,Country,ID_Country
Africa,Algeria,12
Africa,Egypt,818
Africa,Libya,434
Africa,Morocco,504
Africa,Sudan,729
Africa,Tunisia,788
Africa,Western Sahara,732
Africa,British Indian Ocean Territory,86
Africa,Burundi,108
Africa,Comoros,174
Africa,Djibouti,262
Africa,Eritrea,232
Africa,Ethiopia,231
Africa,French Southern Territories,260
Africa,Kenya,404
Africa,Madagascar,450
Africa,Malawi,454
Africa,Mauritius,480
Africa,Mayotte,175
Africa,Mozambique,508
Africa,Réunion,638
Africa,Rwanda,646
Africa,Seychelles,690
Africa,Somalia,706
Africa,South Sudan,728
Africa,Uganda,800
Africa,United Republic of Tanzania,834
Africa,Zambia,894
Africa,Zimbabwe,716
Africa,Angola,24
Africa,Cameroon,120
Africa,Central African Republic,140
Africa,Chad,148
Africa,Congo,178
Africa,Democratic Republic of the Congo,180
Africa,Equatorial Guinea,226
Africa,Gabon,266
Africa,Sao Tome and Principe,678
Africa,Botswana,72
Africa,Eswatini,748
Africa,Lesotho,426
Africa,Namibia,516
Africa,South Africa,710
Africa,Benin,204
Africa,Burkina Faso,854
Africa,Cabo Verde,132
Africa,Côte d’Ivoire,384
Africa,Gambia,270
Africa,Ghana,288
Africa,Guinea,324
Africa,Guinea-Bissau,624
Africa,Liberia,430
Africa,Mali,466
Africa,Mauritania,478
Africa,Niger,562
Africa,Nigeria,566
Africa,Saint Helena,654
Africa,Senegal,686
Africa,Sierra Leone,694
Africa,Togo,768
Americas,Anguilla,660
Americas,Antigua and Barbuda,28
Americas,Aruba,533
Americas,Bahamas,44
Americas,Barbados,52
Americas,"Bonaire, Sint Eustatius and Saba",535
Americas,British Virgin Islands,92
Americas,Cayman Islands,136
Americas,Cuba,192
Americas,Curaçao,531
Americas,Dominica,212
Americas,Dominican Republic,214
Americas,Grenada,308
Americas,Guadeloupe,312
Americas,Haiti,332
Americas,Jamaica,388
Americas,Martinique,474
Americas,Montserrat,500
Americas,Puerto Rico,630
Americas,Saint Barthélemy,652
Americas,Saint Kitts and Nevis,659
Americas,Saint Lucia,662
Americas,Saint Martin (French Part),663
Americas,Saint Vincent and the Grenadines,670
Americas,Sint Maarten (Dutch part),534
Americas,Trinidad and Tobago,780
Americas,Turks and Caicos Islands,796
Americas,United States Virgin Islands,850
Americas,Belize,84
Americas,Costa Rica,188
Americas,El Salvador,222
Americas,Guatemala,320
Americas,Honduras,340
Americas,Mexico,484
Americas,Nicaragua,558
Americas,Panama,591
Americas,Argentina,32
Americas,Bolivia (Plurinational State of),68
Americas,Bouvet Island,74
Americas,Brazil,76
Americas,Chile,152
Americas,Colombia,170
Americas,Ecuador,218
Americas,Falkland Islands (Malvinas),238
Americas,French Guiana,254
Americas,Guyana,328
Americas,Paraguay,600
Americas,Peru,604
Americas,South Georgia and the South Sandwich Islands,239
Americas,Suriname,740
Americas,Uruguay,858
Americas,Venezuela (Bolivarian Republic of),862
Americas,Bermuda,60
Americas,Canada,124
Americas,Greenland,304
Americas,Saint Pierre and Miquelon,666
Americas,United States of America,840
,Antarctica,10
Asia,Kazakhstan,398
Asia,Kyrgyzstan,417
Asia,Tajikistan,762
Asia,Turkmenistan,795
Asia,Uzbekistan,860
Asia,China,156
Asia,"China, Hong Kong Special Administrative Region",344
Asia,"China, Macao Special Administrative Region",446
Asia,Democratic People's Republic of Korea,408
Asia,Japan,392
Asia,Mongolia,496
Asia,Republic of Korea,410
Asia,Brunei Darussalam,96
Asia,Cambodia,116
Asia,Indonesia,360
Asia,Lao People's Democratic Republic,418
Asia,Malaysia,458
Asia,Myanmar,104
Asia,Philippines,608
Asia,Singapore,702
Asia,Thailand,764
Asia,Timor-Leste,626
